yearID,teamID,name,W,payroll,Batting_WAR,Pitching_WAR,Total_WAR,Dollars_per_Win,Dollars_per_WAR,WAR_per_Million,Wins_per_100M
2003,PIT,Pittsburgh Pirates,75,54812429,19.05,8.736666668,27.786666668,730832.3866666667,1972616.2067191643,0.5069409835495522,136.83027986225534
2003,SDN,San Diego Padres,64,45210000,20.755,-0.049999999000000184,20.705000001000002,706406.25,2183530.5480713095,0.457973899601858,141.56160141561602
2003,SEA,Seattle Mariners,93,86959167,30.015,20.940000003,50.955000003,935044.8064516129,1706587.5182981107,0.5859646746961135,106.94674662649425
2003,SFN,San Francisco Giants,100,82852167,25.930062112,18.645093169,44.57515528,828521.67,1858707.3108228554,0.5380083212548925,120.69690343766145
2003,SLN,St. Louis Cardinals,85,83786666,32.015,7.160000002,39.175000002,985725.4823529412,2138778.966068218,0.4675564964239059,101.44812302234344
2003,TBA,Tampa Bay Devil Rays,63,19630000,18.98,5.22,24.2,311587.3015873016,811157.0247933884,1.2328069281711667,320.9373408048905
2003,TEX,Texas Rangers,71,103491667,22.495,3.3533333310000004,25.848333331,1457629.1126760563,4003804.2559549506,0.24976245991863286,68.60455731184618
2003,TOR,Toronto Blue Jays,86,51269000,21.279999999999998,14.986666669,36.266666668999996,596151.1627906977,1413667.279320812,0.7073800282626928,167.742690514736
2004,ANA,Anaheim Angels,92,100534667,23.85,18.810000000000002,42.66,1092768.1195652173,2356649.484294421,0.42433124088430113,91.51072236604713
2004,ARI,Arizona Diamondbacks,51,69780750,-0.5099999999999997,6.636666666999999,6.126666666999999,1368250.0,11389676.27794398,0.08779880793771921,73.08605883427735
2004,ATL,Atlanta Braves,96,90182500,27.985,17.6,45.585,939401.0416666666,1978337.1723154546,0.5054750090095085,106.45080808360824
2004,BAL,Baltimore Orioles,78,51623333,23.235,13.626666667,36.861666667,661837.6025641026,1400461.1746493606,0.7140504985797798,151.09446730221777
2004,BOS,Boston Red Sox,98,127298500,27.19,21.656666666,48.846666666000004,1298964.2857142857,2606083.663199209,0.38371753528910396,76.98441065684199
2004,CHA,Chicago White Sox,83,65212500,24.185,12.266666666,36.451666666,785692.7710843374,1789012.848096365,0.5589674781061913,127.27621238259538
2004,CHN,Chicago Cubs,89,90560000,22.49,24.193333332999998,46.683333333,1017528.0898876404,1939878.614794287,0.5154961719633392,98.2773851590106
2004,CIN,Cincinnati Reds,76,46615250,17.115,-0.5133333340000004,16.601666666,613358.552631579,2807865.6762496885,0.3561423925861172,163.0367744461308
2004,CLE,Cleveland Indians,80,34319300,29.105,7.5766666680000005,36.681666668,428991.25,935598.1643532884,1.0688349315982553,233.10498757259035
2004,COL,Colorado Rockies,68,65445167,14.834999999999999,7.620000001999999,22.455000002,962428.9264705882,2914503.094819461,0.34311166173661073,103.90377642401003
2004,DET,Detroit Tigers,72,46832000,24.085,9.026666666,33.111666666,650444.4444444445,1414365.5308081617,0.7070308051332421,153.74103177314657
2004,FLO,Florida Marlins,83,42143042,18.400000000000002,14.986666665000001,33.386666665,507747.4939759036,1262271.6254623737,0.7922225136239571,196.94828864038814
2004,HOU,Houston Astros,92,75397000,24.935,18.679999998,43.614999998,819532.6086956522,1728694.2566423796,0.5784712919346924,122.02077005716407
